nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
     19534, 4.686122437E+02, 9.368418579E+02, 2.427740479E+02, 3.728323460E+00
     19535, 3.921842041E+02, 9.576937866E+02, 2.429022064E+02, 3.726015091E+00
     19536, 9.271806641E+02, 8.117302246E+02, 2.429457245E+02, 3.908102036E+00
     19537, 1.462177124E+03, 6.657666016E+02, 2.429893341E+02, 3.802466393E+00
     19538, 9.654501953E+02, 8.012891846E+02, 2.441527710E+02, 3.915149450E+00
     19539, 0.000000000E+00, 1.064693726E+03, 2.445771637E+02, 3.552611828E+00
     19540, 1.882531494E+03, 5.510809937E+02, 2.461332245E+02, 3.663759708E+00
     19541, 1.347535034E+03, 6.970445557E+02, 2.461767731E+02, 3.850589037E+00
     19542, 8.125385132E+02, 8.430081177E+02, 2.462203064E+02, 3.868777752E+00
     19543, 2.775420532E+02, 9.889716797E+02, 2.462638550E+02, 3.714370251E+00
     19544, 4.825792313E+01, 1.051527466E+03, 2.463484955E+02, 3.591220856E+00
     19545, 5.832543335E+02, 9.055639648E+02, 2.463920441E+02, 3.750347614E+00
     19546, 1.118250732E+03, 7.596004028E+02, 2.464355774E+02, 3.917852879E+00
     19547, 1.653247314E+03, 6.136367798E+02, 2.464791870E+02, 3.742828369E+00
     19548, 1.701475708E+03, 6.004785156E+02, 2.468907776E+02, 3.726272106E+00
     19549, 1.166359253E+03, 7.464749146E+02, 2.469671326E+02, 3.915024757E+00
     19550, 6.312429810E+02, 8.924711914E+02, 2.470433807E+02, 3.767952681E+00
     19551, 9.612683105E+01, 1.038467407E+03, 2.471195984E+02, 3.628808022E+00
     19552, 2.299058838E+02, 1.001968384E+03, 2.472676697E+02, 3.702626944E+00
     19553, 7.650220337E+02, 8.559721069E+02, 2.473438873E+02, 3.844833374E+00
     19554, 1.300138428E+03, 7.099758301E+02, 2.474201965E+02, 3.875911713E+00
     19555, 1.835254761E+03, 5.639795532E+02, 2.474964142E+02, 3.680327892E+00
     19556, 2.000000000E+03, 5.190319214E+02, 2.495340424E+02, 3.635257721E+00
     19557, 1.691461426E+03, 6.032108154E+02, 2.496230164E+02, 3.731371403E+00
     19558, 1.156464722E+03, 7.491743774E+02, 2.496666412E+02, 3.916067600E+00
     19559, 6.214683228E+02, 8.951379395E+02, 2.497101898E+02, 3.766399384E+00
     19560, 8.647195435E+01, 1.041101563E+03, 2.497537384E+02, 3.623802662E+00
     19561, 2.393280792E+02, 9.993977051E+02, 2.498383484E+02, 3.707888603E+00
     19562, 7.743244629E+02, 8.534340820E+02, 2.498818817E+02, 3.851701498E+00
     19563, 1.309320923E+03, 7.074705200E+02, 2.499254608E+02, 3.869637012E+00
     19564, 1.844317505E+03, 5.615069580E+02, 2.499690094E+02, 3.678730488E+00
     19565, 0.000000000E+00, 1.064693726E+03, 2.519771423E+02, 3.557716608E+00
     19566, 1.500807007E+03, 6.552272339E+02, 2.529994354E+02, 3.796278715E+00
     19567, 1.976150024E+03, 5.255389404E+02, 2.530207062E+02, 3.641507149E+00
     19568, 9.657039185E+02, 8.012199097E+02, 2.530374298E+02, 3.911641836E+00
     19569, 1.500391235E+03, 6.553406982E+02, 2.531128998E+02, 3.796473026E+00
     19570, 9.653948975E+02, 8.013042603E+02, 2.531347961E+02, 3.911555767E+00
     19571, 4.305745239E+02, 9.472196655E+02, 2.531518555E+02, 3.736736774E+00
     19572, 4.303981934E+02, 9.472677612E+02, 2.531999817E+02, 3.736790180E+00
     19573, 3.818223267E+02, 9.605208130E+02, 2.532640839E+02, 3.734543562E+00
     19574, 1.386223145E+02, 1.026873291E+03, 2.532640839E+02, 3.663475990E+00
     19575, 1.856394897E+03, 5.582118530E+02, 2.532640991E+02, 3.676983118E+00
     19576, 1.841022461E+03, 5.624059448E+02, 2.532640991E+02, 3.682080507E+00
     19577, 1.792382446E+03, 5.756764526E+02, 2.532640991E+02, 3.698652744E+00
     19578, 1.743742432E+03, 5.889469604E+02, 2.532640991E+02, 3.715354681E+00
     19579, 1.695102417E+03, 6.022174072E+02, 2.532640991E+02, 3.732416153E+00
